あっち,"あっち 
 over there"
あちら,"あちら 
 there"
赤,"あか 
 red"
秋,"あき 
 autumn"
飴,"あめ 
 candy"
雨,"あめ 
 rain"
あなた,"あなた 
 you"
姉,"あね 
 older sister"
兄,"あに 
 elder brother"
あの,"あの 
 that"
青,"あお 
 blue"
アパート,"アパート 
 apartment"
あれ,"あれ 
 that"
朝,"あさ 
 morning"
朝ご飯,"あさごはん 
 breakfast"
明後日,"あさって 
 day after tomorrow"
足,"あし 
 foot"
明日,"あした 
 tomorrow"
あそこ,"あそこ 
 over there"
頭,"あたま 
 head"
後,"あと 
 behind"
晩ご飯,"ばんごはん 
 dinner"
番号,"ばんごう 
 number"
バス,"バス 
 bus"
バター,"バター 
 butter"
ベッド,"ベッド 
 bed"
勉強,"べんきょう 
 to study"
ボールペン,"ボールペン 
 ball-point pen"
ボタン,"ボタン 
 button"
帽子,"ぼうし 
 hat"
文章,"ぶんしょう 
 sentence"
豚肉,"ぶたにく 
 pork"
病院,"びょういん 
 hospital"
病気,"びょうき 
 illness"
茶色,"ちゃいろ 
 brown"
茶碗,"ちゃわん 
 rice bowl"
父,"ちち 
 father"
小さな,"ちいさな 
 small"
地下鉄,"ちかてつ 
 subway"
地図,"ちず 
 map"
台所,"だいどころ 
 kitchen"
大学,"だいがく 
 university"
誰,"だれ 
 who"
誰か,"だれか 
 someone"
出口,"でぐち 
 exit"
電気,"でんき 
 electricity"
電車,"でんしゃ 
 train"
電話,"でんわ 
 telephone (call / device)l"
デパート,"デパート 
 department store"
ドア,"ドア 
 door"
どっち,"どっち 
 which"
どちら,"どちら 
 which of two"
どこ,"どこ 
 where"
どなた,"どなた 
 who"
どの,"どの 
 which"
どれ,"どれ 
 which (of three or more)"
動物,"どうぶつ 
 animal"
土曜日,"どようび 
 Saturday"
絵,"え 
 picture"
ええ,"ええ 
 yes"
映画,"えいが 
 movie"
映画館,"えいがかん 
 movie theater"
英語,"えいご 
 English language"
駅,"えき 
 station"
鉛筆,"えんぴつ 
 pencil"
エレベーター,"エレベーター 
 elevator"
フィルム,"フィルム 
 film"
フォーク,"フォーク 
 fork"
服,"ふく 
 clothes"
二人,"ふたり 
 two people"
二つ,"ふたつ 
 two"
二日,"ふつか 
 the second day of the month / 2 days"
封筒,"ふうとう 
 envelope"
冬,"ふゆ 
 winter"
外国,"がいこく 
 foreign country"
外国人,"がいこくじん 
 foreigner"
学校,"がっこう 
 school"
学生,"がくせい 
 student"
玄関,"げんかん 
 entrance"
元気,"げんき 
 lively"
月曜日,"げつようび 
 Monday"
銀行,"ぎんこう 
 bank"
ギター,"ギター 
 guitar"
五,"ご 
 five"
午後,"ごご 
 afternoon"
ご飯,"ごはん 
 cooked rice, meal"
午前,"ごぜん 
 morning"
グラム,"グラム 
 gram"
牛肉,"ぎゅうにく 
 beef"
牛乳,"ぎゅうにゅう 
 milk"
歯,"は 
 tooth"
八,"はち 
 eight: 8"
葉書,"はがき 
 postcard"
母,"はは 
 mother"
