id,hanja,hangul,eng,type
0,,가격,price,noun
1,,가구,furniture,noun
2,,가방,bag,noun
3,,가을,"fall, autumn",noun
4,,가족,family,noun
5,,값,price,noun
6,,강,river,noun
7,,거리,distance,noun
8,,걱정,anxiety,noun
9,,결혼식,wedding,noun
10,,경주,race; run,noun
11,,경험,experience,noun
12,,계절,season,noun
13,,계획,plan,noun
14,,고민,worry,noun
15,,고양이,cat,noun
16,,고향,hometown,noun
17,,곳,place,noun
18,,공연,performance,noun
19,,공원,park,noun
20,,공책,note book,noun
21,,공항,airport,noun
22,,과일,fruit,noun
23,,과자,snack,noun
24,,관심,interest,noun
25,,교통사고,car accident,noun
26,,구두,dress shoe,noun
27,,구입,purchase,noun
28,,그림,"drawing, painting",noun
29,,극장,theater,noun
30,,근처,near,noun
31,,글자,letter,noun
32,,금년,this year,noun
33,,기간,period,noun
34,,기분,"Feeling, Mood",noun
35,,김치,Kimchi,noun
36,,까만색,black,noun
37,,꽃,flower,noun
38,,꽃집,flower shop,noun
39,,나라,country,noun
40,,나무,tree,noun
41,,날,day,noun
42,,날씨,weather,noun
43,,남산,Namsan Mountain,noun
44,,내년,next year,noun
45,,내용,content,noun
46,,내일,tomorrow,noun
47,,냉면,cold noodles,noun
48,,냉장고,refrigerator,noun
49,,년,year,noun
50,,노래,song,noun
51,,누나,older sister (for male),noun
52,,눈물,tears,noun
53,, 느낌,feeling,noun
54,,다음,next,noun
55,,다음달,next month,noun
56,,단어,word,noun
57,,달,month,noun
58,,댁,home (honorific form of 집),noun
59,,도서관,library,noun
60,,돈,money,noun
61,,동대문,Dongdaemun,noun
62,,동생,younger sibling,noun
63,, 뒤,back,noun
64,,드라마,drama,noun
65,,등산,hike,noun
66,,등산화,hiking shoes,noun
67,,라디오,radio,noun
68,,러시아,Russia,noun
69,, 맞은편,across from,noun
70,,머리,head,noun
71,,모습,appearance,noun
72,,모자,"hat, cap",noun
73,,무게,weight,noun
74,,문,door,noun
75,,문구점,stationary store,noun
76,,문제,problem,noun
77,,문화,culture,noun
78,,물건,thing,noun
79,,미국,USA,noun
80,,밑,under,noun
81,,바지,pants,noun
82,,박물관,museum,noun
83,,밖,outside,noun
84,,반(수업),class,noun
85,,방,room,noun
