Kanji,Kana,POS,Meaning,Example
生,なま,"adj-no,adj-na,pref",raw; uncooked; fresh; natural,"
"
のんびり,のんびり,"adv,adv-to,vs",carefree; at leisure,"
"
文字,もじ,n,letter; character,"
"
柄,がら,"n,suf",pattern; design,"
"
梅雨,つゆ,n,rainy season (early June to mid-July),"
"
がっかり,がっかり,"adv,adv-to,n,vs",be disappointed; dejected; feel let down,"
"
マイク,マイク,n,(abbr) microphone,"
"
一言,ひとこと,"n,vs",single word; brief comment,"
"
不満,ふまん,"adj-na,n",dissatisfaction; discontent; displeasure,"
"
不足,ふそく,"adj-na,n,vs",insufficiency; lack; shortage,"
"
世の中,よのなか,n,society; the world,"世の中に色々な人がいる
There are many different kinds of people in the world."
予算,よさん,"n,vs,adj-no",estimate; budget,"
"
事件,じけん,n,event; incident; case (usually negative),"事件の原因
cause of the incident"
人間,にんげん,n,human being; person,"
"
人類,じんるい,n,mankind; humanity,"
"
以前,いぜん,"n-adv,n",since; before; previous,"以前に伝えた理由
the reason previously stated"
休憩,きゅうけい,"n,vs",rest; break,"
"
休暇,きゅうか,n,holiday; day off,"有給休暇
paid vacation"
会員,かいいん,n,member; the membership,"
"
伝統,でんとう,n,tradition; convention,"伝統的
traditional"
伸びる,のびる,vi,to stretch; to extend; to grow,"髪の毛が伸びる
"
似合う,にあう,vi,to suit; to match,"あの服は彼に似合う。
Those clothes suit him."
住民,じゅうみん,n,inhabitant; resident,"
"
作品,さくひん,n,"work; production (book, film, etc.)","
"
作業,さぎょう,"n,vs",work; operation; manufacturing,"
"
保存,ほぞん,"n,vs",saving; storage; maintenance,"ワードファイルを保存する
to save a word document (on the computer)"
信頼,しんらい,"n,vs",reliance; confidence,"信頼性
reliability"
俳優,はいゆう,"n,adj-no",actor,"
"
優勝,ゆうしょう,"n,vs",overall victory; championship,"
"
優秀,ゆうしゅう,"adj-na,n",superiority; excellence,"優秀な生徒
an excellent student"
先日,せんじつ,"n-adv,n",the other day; a few days ago,"
"
全て,すべて,"n,adj-no,adv",everything; all; entirely; completely,"
"
