Kanji,Kana,POS,Meaning,Example
～倍,～ばい,suf,～times; ～fold,"高い車が安い車の10倍です。
An expensive car is 10X a cheap car."
～区,～く,suf,～ district,"新宿区
(distinct of) Shinjuku"
～君,～くん,suf,Mr. ～ (used for someone of equal or lesser status),"田中君は後で来ると思う。
I think (Mr.) Tanaka will come later."
～員,～いん,suf,member of ～,"会社員
company employee"
～式,～しき,suf,a ceremony,"卒業式
graduation ceremony"
～畳,～じょう,ctr,counter for tatami mats; measure of room size (in mat units),"私の部屋は6畳です。
My room is the size of 6 tatami mats."
～目,～め,suf,number in a sequence,"今日は二回目です。
Today is my second time."
～階建て,～かいだて,n,～-storied building,"家は三階建てではなくて、二階建てです。
My house is not a three-storied building, but a two-storied building."
アクセサリー,アクセサリー,n,accessory,"この黒い服には黄色いアクセサリーが合うと思う？
Do you think yellow accessories will go well with this black dress?"
アジア,アジア,n,Asia,"アジアに色々な国があります。
There are various countries in Asia."
アナウンサー,アナウンサー,n,announcer; presenter,"知り合いはこのテレビ局でアナウンサーの仕事をしています。
My acquaintance works as an announcer at this TV station."
アフリカ,アフリカ,n,Africa,"アフリカに行ってみたいです。
I want to try and go to Africa."
アメリカ,アメリカ,n,America,"アメリカで留学してみたい。
I want to try and study abroad in America."
アルコール,アルコール,"n,adj-no",alcohol,"アルコールが入っているから20歳になってからだね。
There is alcohol in it, so you can have some when you're 20 years old."
アルバイト,アルバイト,"n,vs",part-time job,"キムのアルバイトはコンビニの店員です。
Kim's part time job is a convenience store clerk."
あんな,あんな,adj-pn,such; like that,"あんな分かりやすい質問を間違えた。
I missed such an easy question."
いじめる,いじめる,vt,to bully; to tease,"外国から来た人はいじめないように優しくしてください。
As for the person who came from a foreign country, please be kind and don't tease them."
いっぱい,いっぱい,"adv,adj-no,adj-na",fully; to capacity; a lot,"お菓子をいっぱい食べたから晩ご飯は食べられなかった。
I ate a lot of snacks, so I could not eat dinner."
いらっしゃる,いらっしゃる,vi,(hon) to come; to go; to be,"先生がいらっしゃいますか？
Is the teacher here?"
うち,うち,"n,adj-no",inside; within,"今年のうち
within this year"
うまい,うまい,adj-i,delicious,"このステーキはうまい！
This steak is delicious."
うん,うん,int,yes; yeah,"「もう食べた？」「うん、食べた」
Did you already eat?  Yeah, I ate."
エスカレーター,エスカレーター,n,escalator,"エスカレーターに乗って、3階に行こう。
Let's ride the escaltor and go to the 3rd floor."
オートバイ,オートバイ,n,motorcycle,"ヘルメットがなければオートバイに乗ることは非常に危ないですよ。
It is very dangerous to ride a motorcycle without a helmet."
おかげ,おかげ,n,assistance; help; owing to,"この素晴らしい点数は先生のおかげです。
I owe this splendid score to the teacher."
おかげさまで,おかげさまで,exp,(I'm fine) thank you; thanks to you,"「お元気ですか？」「はい、おかげさまで元気です。」
""How are you?""  ""I'm fine, thanks to you"""
おかしい,おかしい,adj-i,strange; odd; weird,"いつも賑わっている店に誰もいないのはおかしいですね。
It is strage that there is no one in the store that is always bustling."
おっしゃる,おっしゃる,vt,to speak; to say,"先生が良い辞書がないと勉強しにくいとおっしゃった。
The teacher told me that it is difficult to study without a good dictionary."
おつり,おつり,n,change (for a purchase); small money (ex. coins),"800円の会計だからおつりは200円なはずだったのに、110円しかもらっていない。
It was an 800 yen bill, so the change should have been 200 yen, but I only received 110 yen."
おもちゃ,おもちゃ,n,toy,"片付けてないから子供のおもちゃを踏んでしまいました。
You did not clean up so I stepped on the child's toy."
お土産,おみやげ,n,present; souvenir,"ジョンがお土産を買ってくれた。
John bought me a souvenir."
お嬢さん,おじょうさん,n,(hon) daughter; young lady,"お嬢さんがいらっしゃいますか？
Is your daughter home?"
お子さん,おこさん,n,(hon) (someone else's) child,"お子さんは何月生まれですか？
What month was your child born?"
お宅,おたく,n,(hon) your house; your home,"お宅の電話番号を教えて頂けますか？
Will you give me your home phone number?"
お礼,おれい,n,(pol) thanks; gratitude,"皆さんのおかげでできましたので、お礼を言いたいです。
I want to express my gratitude because I was able to do it due to all of your efforts."
お祝い,おいわい,"n,vs",congratulations; celebration; congratulatory gift,"昨日私たちは結婚１０周年のお祝いをした。
We celebrated our tenth wedding anniversary yesterday."
お見舞い,おみまい,n,visiting/seeing someone who is ill,"友達が入院しているからお見舞いに行きます。
My friend is in the hospital, so I will go and see him."
カーテン,カーテン,n,curtain,"眩しいからカーテンを閉めてくれる？
It is bright so would you close the curtains?"
ガス,ガス,n,gas,"ガスの方が電気より安い。
Gas is cheaper than electricity."
ガソリン,ガソリン,n,gasoline,"最近ガソリンの値段がどんどん上がっているね。
The price of gasoline has been going up more and more recently."
ガソリンスタンド,ガソリンスタンド,n,gas station,"明日遠くドライブするので、今日ガソリンスタンドに行っておきます。
Tomorrow we're going for a long drive, so I will go to the gas station today."
ガラス,ガラス,n,glass,"テーブルの上にあるガラスのコップください。
Please give me to glass cup on the table."
きっと,きっと,adv,surely; almost certainly,"ジョンは日本語が上手だからきっと合格したと思います。
John is good at Japanese so I think he almost certainly passed."
くれる,くれる,vt,to give (to me),"お母さんがシャツをくれた。
My mom gave me a shirt."
ケーキ,ケーキ,n,cake,"誕生日にチョコケーキが欲しい。
I want chocolate cake for my birthday."
ケガ,けが,"n,vs",injury; hurt,"ケガをしないように気を付けてください。
Please be careful so as not to get hurt."
けれど,けれど,conj,but; however,"食べに行きたいけれど、仕事がある。
I want to go and eat, but I have work"
けれども,けれども,conj,but; however,"食べに行きたいけれども、仕事がある。
I want to go and eat, but I have work"
けんか,けんか,"n,vs",fight; scuffle; argument,"子供のとき弟と毎日けんかしました。
I fought with my yonger brother everyday when I was a child."
こう,こう,adv,in this way,"こうやってにんじんを切ります。
Cut the carrots in this way."
ごちそう,ごちそう,"n,vs","feast; to treat someone (to a meal, etc.)","上司の家を訪ねて、すごいごちそうでした。
I went to the boss's house and it was a great feast."
